config,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,n_alignment_skipped,n_entry_aligned,n_entry_opposed,n_entry_unknown,n_structure_invalidations,error
FVG_INV_STRUCT_ON,2025-06-30,7,-5.083000000000084,-0.7261428571428691,29,7,8,14,7,7,29,7,0,0,7,0,0,
FVG_INV_STRUCT_ON,2025-07-08,9,5.442000000002281,0.6046666666669201,24,9,7,7,7,9,24,9,0,0,9,0,0,
FVG_INV_STRUCT_ON,2025-07-11,4,-1.6860000000001492,-0.4215000000000373,22,4,8,8,4,4,22,4,0,0,4,0,0,
FVG_INV_STRUCT_ON,2025-07-31,8,-3.87099999999964,-0.483874999999955,21,8,8,5,8,8,21,8,0,0,8,0,0,
FVG_INV_STRUCT_ON,2025-08-11,9,30.245999999996457,3.360666666666273,24,9,8,7,7,9,24,9,0,0,9,0,0,
FVG_INV_STRUCT_ON,2025-09-22,7,-3.2099999999995816,-0.4585714285713688,30,7,8,14,7,7,30,7,0,0,7,0,0,
FVG_INV_STRUCT_ON,2025-10-16,25,109.44499999999152,4.377799999999661,41,25,4,10,20,25,41,25,0,0,25,0,0,
FVG_INV_STRUCT_ON,2025-10-20,14,60.310999999999694,4.307928571428549,36,14,10,12,10,14,36,14,0,0,14,0,0,
FVG_INV_STRUCT_ON,2025-10-28,18,55.719999999999345,3.095555555555519,35,18,10,6,15,18,35,18,0,0,18,0,0,
FVG_INV_STRUCT_ON,2025-11-06,9,15.200000000000728,1.6888888888889697,24,9,7,8,7,9,24,9,0,0,9,0,0,
FVG_INV_STRUCT_ON,2025-11-11,6,1.8299999999981083,0.3049999999996847,27,6,9,11,5,6,27,6,0,0,6,0,0,
FVG_INV_STRUCT_ON,2025-11-13,13,27.612999999994827,2.124076923076525,26,13,7,5,11,13,26,13,0,0,13,0,0,
FVG_INV_STRUCT_ON,2025-12-26,12,-9.830000000004475,-0.8191666666670395,25,12,7,6,12,12,25,12,0,0,12,0,0,
FVG_INV_STRUCT_ON,2026-01-07,8,27.17699999999786,3.3971249999997326,24,8,9,7,7,8,24,8,0,0,8,0,0,
FVG_INV_STRUCT_ON,2026-01-08,13,52.66699999998491,4.051307692306532,27,13,4,10,11,13,27,13,0,0,13,0,0,
FVG_INV_STRUCT_ON,2026-01-16,9,-7.4430000000047585,-0.8270000000005288,14,9,0,3,9,9,14,9,0,0,9,0,0,
FVG_INV_STRUCT_ON,2026-01-22,24,51.32600000000639,2.1385833333335995,47,24,6,16,21,24,47,24,0,0,24,0,0,
FVG_INV_STRUCT_ON,2026-01-26,10,19.01000000000749,1.901000000000749,15,10,1,4,7,10,15,10,0,0,10,0,0,
FVG_INV_STRUCT_ON,2026-02-02,24,426.2810000000063,17.761708333333598,35,24,2,7,19,24,35,24,0,0,24,0,0,
FVG_INV_STRUCT_ON,2026-02-18,11,93.28699999997662,8.480636363634238,36,11,7,15,8,11,36,11,0,0,11,0,0,
FVG_INV_STRUCT_ON,2026-02-19,16,25.3429999999953,1.5839374999997062,23,16,4,3,12,16,23,16,0,0,16,0,0,
FVG_INV_STRUCT_ON,2026-03-12,25,29.812999999980093,1.1925199999992038,39,25,4,10,22,25,39,25,0,0,25,0,0,
FVG_INV_STRUCT_ON,2026-03-17,8,11.296000000007552,1.412000000000944,17,8,3,5,7,8,17,8,0,0,8,0,0,
FVG_INV_STRUCT_ON,2026-03-18,19,28.997000000002117,1.5261578947369536,42,19,9,12,16,19,42,19,0,0,19,0,0,
FVG_INV_STRUCT_ON,2026-03-30,19,30.625999999984742,1.6118947368413021,26,19,2,3,15,19,26,19,0,0,19,0,0,
