config,n_trades,pnl_total,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,n_alignment_skipped,n_entry_aligned,n_entry_opposed,n_entry_unknown,ev_per_trade,pnl_per_day,trades_per_day,fill_rate,pct_aligned,pct_opposed
INV_TRADE,1963,-26.818286962636574,1963,715,715,715,113,113,13274,926,1012,25,-0.013661888417033405,-0.8939428987545525,65.43333333333334,0.9151515151515152,47.17269485481406,51.553744268976054
INV_TRADE_PLUS,1963,-36.06019213161039,1963,715,715,708,113,113,11404,926,1012,25,-0.018369939954972183,-1.2020064043870131,65.43333333333334,0.9151515151515152,47.17269485481406,51.553744268976054
BASELINE,1850,-57.10088696262839,1850,715,715,646,0,0,13274,926,899,25,-0.03086534430412345,-1.9033628987542797,61.666666666666664,0.8624708624708625,50.054054054054056,48.5945945945946
