config,day,n_trades,pnl_total,ev_per_trade,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,n_alignment_skipped,n_entry_aligned,n_entry_opposed,n_entry_unknown,error
INV_TRADE_PLUS,2024-07-03,104,-0.8190368227121024,-0.007875354064539446,104,39,39,25,4,4,868,64,37,3,
INV_TRADE_PLUS,2024-08-09,65,-1.3356310602128665,-0.020548170157121022,65,24,24,21,3,3,592,33,32,0,
INV_TRADE_PLUS,2024-11-06,104,-0.0480664340689145,-0.0004621772506626394,104,41,41,26,5,5,760,58,46,0,
INV_TRADE_PLUS,2024-11-19,63,-1.6897513063701508,-0.026821449307462712,63,24,24,18,3,3,415,32,31,0,
INV_TRADE_PLUS,2024-12-23,78,-0.6844738420484949,-0.008775305667288397,78,28,28,21,4,4,813,48,30,0,
INV_TRADE_PLUS,2025-02-17,29,-1.7379864198684725,-0.05993056620236112,29,12,12,6,0,0,59,17,9,3,
INV_TRADE_PLUS,2025-03-12,40,0.33876892793174807,0.008469223198293702,40,17,17,9,1,1,419,25,15,0,
INV_TRADE_PLUS,2025-04-14,43,-0.42893449144988455,-0.009975220731392663,43,17,17,6,0,0,71,24,19,0,
INV_TRADE_PLUS,2025-06-06,82,-6.3398470623477206,-0.07731520807741123,82,30,30,37,7,7,383,39,43,0,
INV_TRADE_PLUS,2025-07-09,85,-1.5101678611858917,-0.017766680719834022,85,30,30,28,2,2,337,37,48,0,
INV_TRADE_PLUS,2025-07-10,35,-0.8866792250441905,-0.025333692144119728,35,12,12,13,2,2,620,20,15,0,
INV_TRADE_PLUS,2025-07-14,82,0.8615278777281976,0.010506437533270702,82,30,30,36,6,6,382,35,47,0,
INV_TRADE_PLUS,2025-08-01,65,-1.0556031744775585,-0.016240048838116285,65,25,25,30,6,6,504,18,47,0,
INV_TRADE_PLUS,2025-09-03,90,-3.058701210432749,-0.03398556900480832,90,32,32,28,2,2,196,52,38,0,
INV_TRADE_PLUS,2026-01-19,29,-1.1761573526473512,-0.04055715009128797,29,10,10,4,1,1,130,19,10,0,
INV_TRADE_PLUS,2026-02-03,116,1.671845930303788,0.014412464916411965,116,36,36,69,21,21,31,24,92,0,
INV_TRADE_PLUS,2026-04-09,107,-0.32872095203189666,-0.0030721584302046416,107,36,36,41,9,9,154,55,43,9,
INV_TRADE_PLUS,2026-05-26,76,-0.8038678968390136,-0.01057720916893439,76,25,25,39,7,7,194,31,45,0,
INV_TRADE_PLUS,2026-06-23,97,-3.785491375185605,-0.03902568428026397,97,36,36,35,6,6,330,55,39,3,
