day,direction,triggered_by,rank_tier,entry_price,exit_price,pnl_usd,lots,exit_reason,hold_secs,is_inv
2024-01-23,1,fvg,,2021.015,2021.9792857142859,0.3214285714285931,0.0033333333333333335,tp,285.0,False
2024-01-23,-1,fvg,,2033.705,2032.6845081967213,0.34016393442622456,0.0033333333333333335,tp,397.0,False
2024-01-23,-1,fvg,,2031.895,2030.8211630946157,0.3579456351280897,0.0033333333333333335,tp,93.0,False
2024-01-23,-1,fvg,,2030.715,2029.975067114094,0.2466442953020002,0.0033333333333333335,tp,157.0,False
2024-01-23,-1,fvg,,2030.96,2030.5900335570473,0.12332214765092431,0.0033333333333333335,tp,25.0,False
2024-01-23,1,ifvg,,2021.455,2021.6799999999998,0.07499999999996969,0.0033333333333333335,tp,4.0,False
2024-01-23,1,ifvg,,2021.545,2021.8882203389833,0.11440677966106706,0.0033333333333333335,tp,11.0,False
2024-01-23,1,ifvg,,2026.795,2026.6950000000002,-0.03333333333330302,0.0033333333333333335,sl,15.0,False
2024-01-23,1,ifvg,,2026.715,2026.9399999999998,0.07499999999996969,0.0033333333333333335,tp,11.0,False
2024-01-23,1,ifvg,,2026.755,2026.98,0.07499999999996969,0.0033333333333333335,tp,29.0,False
2024-01-23,1,fvg,,2029.635,2029.3120480704129,-0.10765064319571138,0.0033333333333333335,sl,43.0,False
2024-01-23,1,fvg,,2029.3964999999998,2029.2350240352064,-0.0538253215978178,0.0033333333333333335,sl,29.0,False
2024-01-23,1,fvg,,2029.238,2029.1380000000001,-0.03333333333330302,0.0033333333333333335,sl,161.0,False
2024-01-23,1,ifvg,,2027.915,2028.1399999999999,0.07499999999996969,0.0033333333333333335,tp,2.0,False
2024-01-23,1,ifvg,,2028.014,2027.755,-0.0863333333332624,0.0033333333333333335,inv,335.0,False
2024-01-23,1,ifvg,,2027.845,2027.755,-0.02999999999997272,0.0033333333333333335,inv,1.0,False
2024-02-07,1,fvg,,2032.505,2033.321878980892,0.27229299363064763,0.0033333333333333335,tp,1043.0,False
2024-02-07,-1,ifvg,,2033.15,2033.3541420118343,-0.06804733727805494,0.0033333333333333335,sl,0.0,False
2024-02-07,-1,ifvg,,2032.805,2033.2132840236686,-0.13609467455618565,0.0033333333333333335,sl,0.0,False
2024-02-07,-1,ifvg,,2033.485,2033.26,0.07499999999996969,0.0033333333333333335,tp,14.0,False
2024-02-07,-1,fvg,,2042.735,2041.8404216867468,0.29819277108435926,0.0033333333333333335,tp,26.0,False
2024-02-07,-1,fvg,,2042.958,2042.5107108433738,0.14909638554210386,0.0033333333333333335,tp,17.0,False
2024-02-07,1,fvg,,2040.005,2039.7742307692308,-0.07692307692309443,0.0033333333333333335,sl,54.0,False
2024-02-07,1,fvg,,2039.905,2039.7896153846152,-0.03846153846158511,0.0033333333333333335,sl,0.0,False
2024-02-07,1,fvg,,2039.705,2039.9299999999998,0.07499999999996969,0.0033333333333333335,tp,10.0,False
2024-02-07,1,fvg,,2039.035,2038.724655172414,-0.10344827586201671,0.0033333333333333335,sl,20.0,False
2024-02-07,1,fvg,,2038.895,2038.739827586207,-0.05172413793100836,0.0033333333333333335,sl,0.0,False
2024-02-07,1,fvg,,2038.615,2038.515,-0.03333333333330302,0.0033333333333333335,sl,16.0,False
2024-02-07,1,ifvg,,2036.215,2036.195,-0.006666666666660603,0.0033333333333333335,inv,3.0,False
2024-02-07,1,ifvg,,2036.46,2036.195,-0.0883333333333667,0.0033333333333333335,inv,3.0,False
2024-02-07,1,ifvg,,2036.705,2036.195,-0.169999999999997,0.0033333333333333335,inv,3.0,False
2024-02-07,-1,inv,,2036.195,2035.3129999999999,0.8820000000000618,0.01,tp,234.0,True
2024-02-07,1,ifvg,,2034.695,2035.005344827586,0.10344827586201671,0.0033333333333333335,tp,200.0,False
2024-02-07,1,ifvg,,2034.625,2034.515,-0.036666666666633325,0.0033333333333333335,inv,24.0,False
2024-02-07,1,ifvg,,2034.585,2034.515,-0.023333333333312112,0.0033333333333333335,inv,6.0,False
2024-02-08,1,ifvg,,2037.7665,2037.6665,-0.03333333333330302,0.0033333333333333335,sl,0.0,False
2024-02-08,1,ifvg,,2037.875,2037.696692686935,-0.059435771021677894,0.0033333333333333335,sl,0.0,False
2024-02-08,1,ifvg,,2037.658,2037.558,-0.03333333333330302,0.0033333333333333335,sl,2.0,False
2024-02-08,-1,ifvg,,2037.175,2037.2549999999999,-0.026666666666642413,0.0033333333333333335,inv,12.0,False
2024-02-08,-1,ifvg,,2037.115,2037.2549999999999,-0.046666666666624224,0.0033333333333333335,inv,12.0,False
2024-02-08,-1,ifvg,,2037.235,2037.2549999999999,-0.006666666666660603,0.0033333333333333335,inv,4.0,False
2024-02-08,1,ifvg,,2037.355,2037.255,-0.03333333333330302,0.0033333333333333335,sl,4.0,False
2024-02-08,1,ifvg,,2037.3,2037.2,-0.03333333333330302,0.0033333333333333335,sl,6.0,False
2024-02-08,1,ifvg,,2037.265,2037.1650000000002,-0.03333333333330302,0.0033333333333333335,sl,2.0,False
2024-02-08,1,fvg,,2036.325,2036.0194444444444,-0.10185185185188554,0.0033333333333333335,sl,2.0,False
2024-02-08,1,fvg,,2036.105,2035.9522222222222,-0.05092592592594277,0.0033333333333333335,sl,103.0,False
2024-02-08,1,fvg,,2035.918,2035.818,-0.03333333333330302,0.0033333333333333335,sl,2.0,False
2024-02-08,-1,ifvg,,2027.445,2027.5754347826087,-0.043478260869581696,0.0033333333333333335,sl,0.0,False
2024-02-08,-1,ifvg,,2027.52,2027.62,-0.03333333333330302,0.0033333333333333335,sl,2.0,False
2024-02-08,-1,ifvg,,2027.595,2027.3700000000001,0.07499999999996969,0.0033333333333333335,tp,16.0,False
2024-02-08,1,ifvg,,2021.015,2020.9950000000001,-0.006666666666660603,0.0033333333333333335,inv,0.0,False
2024-02-08,1,ifvg,,2021.275,2020.9950000000001,-0.09333333333332425,0.0033333333333333335,inv,0.0,False
2024-02-08,1,ifvg,,2021.535,2020.9950000000001,-0.1799999999999879,0.0033333333333333335,inv,0.0,False
2024-02-08,-1,inv,,2020.955,2021.555,-0.6000000000001364,0.01,inv,67.0,True
2024-02-08,1,ifvg,,2029.835,2029.7199557522124,-0.03834808259587893,0.0033333333333333335,sl,0.0,False
2024-02-08,1,ifvg,,2029.77,2029.67,-0.03333333333330302,0.0033333333333333335,sl,2.0,False
2024-02-08,1,ifvg,,2029.705,2029.605,-0.03333333333330302,0.0033333333333333335,sl,12.0,False
2024-02-08,1,fvg,,2031.315,2031.8858955223884,0.19029850746278498,0.0033333333333333335,tp,149.0,False
2024-02-08,1,fvg,,2031.215,2031.0881343283581,-0.04228855721392696,0.0033333333333333335,sl,5.0,False
2024-02-08,-1,fvg,,2034.245,2034.6985519125683,-0.1511839708561335,0.0033333333333333335,sl,16.0,False
2024-02-08,-1,fvg,,2034.605,2034.8317759562842,-0.07559198542806675,0.0033333333333333335,sl,3.0,False
2024-02-08,-1,fvg,,2034.645,2034.745,-0.03333333333330302,0.0033333333333333335,sl,0.0,False
2024-02-08,1,ifvg,,2032.385,2032.285,-0.03333333333330302,0.0033333333333333335,sl,0.0,False
2024-02-08,1,ifvg,,2032.485,2032.3183333333334,-0.05555555555550503,0.0033333333333333335,sl,0.0,False
2024-02-08,1,ifvg,,2032.325,2032.55,0.07499999999996969,0.0033333333333333335,tp,99.0,False
2024-02-16,-1,ifvg,,2006.585,2006.615,-0.009999999999990905,0.0033333333333333335,inv,0.0,False
2024-02-16,-1,ifvg,,2006.4,2006.615,-0.07166666666663939,0.0033333333333333335,inv,0.0,False
2024-02-16,-1,ifvg,,2006.205,2006.615,-0.13666666666669397,0.0033333333333333335,inv,0.0,False
2024-02-16,1,inv,,2006.595,2006.185,-0.41000000000008185,0.01,inv,191.0,True
2024-02-16,1,ifvg,,1996.775,1996.635,-0.04666666666670002,0.0033333333333333335,inv,3.0,False
2024-02-16,1,ifvg,,1996.895,1996.635,-0.08666666666666364,0.0033333333333333335,inv,3.0,False
2024-02-16,1,ifvg,,1996.815,1996.635,-0.060000000000021224,0.0033333333333333335,inv,0.0,False
2024-02-16,1,ifvg,,2002.835,2002.815,-0.006666666666660603,0.0033333333333333335,inv,0.0,False
2024-02-16,1,ifvg,,2002.96,2002.815,-0.048333333333327275,0.0033333333333333335,inv,0.0,False
2024-02-16,1,ifvg,,2003.085,2002.815,-0.08999999999999395,0.0033333333333333335,inv,0.0,False
2024-02-16,-1,fvg,,2001.545,2001.8914052287582,-0.1154684095860527,0.0033333333333333335,sl,15.0,False
2024-02-16,-1,fvg,,2001.785,2001.395294117647,0.12990196078438507,0.0033333333333333335,tp,11.0,False
2024-02-16,-1,inv,,1997.965,1998.135,-0.17000000000007276,0.01,inv,15.0,True
2024-02-16,1,ifvg,,1997.845,1998.2394805194806,0.13149350649352226,0.0033333333333333335,tp,17.0,False
2024-02-16,1,ifvg,,1998.54,1998.7649999999999,0.07499999999996969,0.0033333333333333335,tp,3.0,False
2024-02-16,1,ifvg,,1998.115,1998.903961038961,0.2629870129869687,0.0033333333333333335,tp,74.0,False
2024-02-16,1,ifvg,,1998.665,1999.115,0.15000000000001515,0.0033333333333333335,tp,21.0,False
2024-02-16,1,ifvg,,1998.605,1998.395,-0.07000000000001214,0.0033333333333333335,inv,4.0,False
2024-02-16,-1,fvg,,2001.905,2002.0049999999999,-0.03333333333330302,0.0033333333333333335,sl,0.0,False
2024-02-16,1,fvg,,2005.945,2006.6539041095891,0.2363013698630615,0.0033333333333333335,tp,55.0,False
2024-02-16,-1,ifvg,,2009.105,2009.245,-0.046666666666624224,0.0033333333333333335,inv,37.0,False
2024-02-16,-1,ifvg,,2009.045,2009.245,-0.06666666666660603,0.0033333333333333335,inv,37.0,False
2024-02-16,-1,ifvg,,2009.225,2009.245,-0.006666666666660603,0.0033333333333333335,inv,0.0,False
2024-02-16,1,ifvg,,2010.225,2010.1178571428572,-0.03571428571422076,0.0033333333333333335,sl,9.0,False
2024-02-16,1,ifvg,,2010.195,2010.095,-0.03333333333330302,0.0033333333333333335,sl,0.0,False
2024-02-16,1,ifvg,,2010.165,2010.065,-0.03333333333330302,0.0033333333333333335,sl,24.0,False
2024-02-16,1,ifvg,,2010.495,2010.3080081300814,-0.06233062330617638,0.0033333333333333335,sl,0.0,False
2024-02-16,1,ifvg,,2010.38,2010.2800000000002,-0.03333333333330302,0.0033333333333333335,sl,7.0,False
2024-02-16,1,ifvg,,2010.285,2010.51,0.07499999999996969,0.0033333333333333335,tp,85.0,False
2024-02-16,1,fvg,,2012.115,2012.7692553191491,0.21808510638303838,0.0033333333333333335,tp,466.0,False
2024-02-16,1,fvg,,2011.945,2011.799609929078,-0.04846335697394959,0.0033333333333333335,sl,22.0,False
2024-02-16,1,fvg,,2012.775,2013.1132867132867,0.11276223776220226,0.0033333333333333335,tp,118.0,False
2024-02-16,-1,fvg,,2013.355,2013.6355755395682,-0.0935251798560633,0.0033333333333333335,sl,1650.0,False
2024-02-16,1,fvg,,2012.985,2013.661573426573,0.22552447552440452,0.0033333333333333335,tp,1415.0,False
2024-02-16,-1,fvg,,2013.508,2013.6482877697842,-0.04676258992806955,0.0033333333333333335,sl,68.0,False
2024-02-16,-1,fvg,,2013.745,2013.52,0.07499999999996969,0.0033333333333333335,tp,16.0,False
2024-02-23,-1,ifvg,,2019.655,2019.8285537190084,-0.057851239669465336,0.0033333333333333335,sl,0.0,False
2024-02-23,-1,ifvg,,2019.76,2019.535,0.07499999999996969,0.0033333333333333335,tp,21.0,False
2024-02-23,-1,ifvg,,2019.865,2019.965,-0.03333333333330302,0.0033333333333333335,sl,0.0,False
2024-02-23,1,ifvg,,2019.505,2019.395,-0.03666666666670911,0.0033333333333333335,inv,26.0,False
2024-02-23,1,ifvg,,2019.595,2019.395,-0.06666666666668183,0.0033333333333333335,inv,26.0,False
2024-02-23,1,ifvg,,2019.415,2019.395,-0.006666666666660603,0.0033333333333333335,inv,25.0,False
2024-02-23,1,ifvg,,2016.7849999999999,2016.705,-0.026666666666642413,0.0033333333333333335,inv,9.0,False
2024-02-23,1,ifvg,,2016.845,2016.705,-0.04666666666670002,0.0033333333333333335,inv,9.0,False
2024-02-23,1,ifvg,,2016.728,2016.705,-0.007666666666712748,0.0033333333333333335,inv,2.0,False
2024-02-23,1,fvg,,2017.505,2018.1815734265736,0.2255244755244803,0.0033333333333333335,tp,320.0,False
2024-02-23,1,ifvg,,2018.895,2018.875,-0.006666666666660603,0.0033333333333333335,inv,8.0,False
2024-02-23,1,ifvg,,2018.98,2018.875,-0.03500000000000607,0.0033333333333333335,inv,8.0,False
2024-02-23,1,ifvg,,2019.065,2018.875,-0.06333333333335152,0.0033333333333333335,inv,8.0,False
2024-02-23,1,ifvg,,2022.6,2022.5,-0.03333333333330302,0.0033333333333333335,sl,14.0,False
2024-02-23,1,ifvg,,2022.695,2022.535336134454,-0.05322128851533611,0.0033333333333333335,sl,14.0,False
2024-02-23,1,ifvg,,2022.505,2022.4050000000002,-0.03333333333330302,0.0033333333333333335,sl,92.0,False
2024-02-23,1,fvg,,2023.205,2023.924387755102,0.23979591836738715,0.0033333333333333335,tp,599.0,False
2024-02-23,1,ifvg,,2023.6,2023.5,-0.03333333333330302,0.0033333333333333335,sl,0.0,False
2024-02-23,1,ifvg,,2023.715,2023.5280081300812,-0.062330623306252164,0.0033333333333333335,sl,0.0,False
2024-02-23,1,ifvg,,2023.485,2023.385,-0.03333333333330302,0.0033333333333333335,sl,73.0,False
2024-02-23,1,fvg,,2024.335,2025.1333870967742,0.26612903225804985,0.0033333333333333335,tp,61.0,False
2024-02-23,1,ifvg,,2025.3200000000002,2025.2350000000001,-0.02833333333334546,0.0033333333333333335,inv,9.0,False
2024-02-23,1,ifvg,,2025.385,2025.2350000000001,-0.04999999999995453,0.0033333333333333335,inv,9.0,False
2024-02-23,1,ifvg,,2025.255,2025.2350000000001,-0.006666666666660603,0.0033333333333333335,inv,0.0,False
2024-02-23,1,ifvg,,2027.815,2027.6483333333333,-0.05555555555558083,0.0033333333333333335,sl,0.0,False
