config,tp_mult,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,error
SNIPER_TP1,1.0,2025-06-18,10,2.3429999999993925,0.23429999999993925,21,10,5,4,3,8,21,10,
SNIPER_TP1,1.0,2025-06-30,7,-3.6100000000001273,-0.5157142857143039,26,7,8,11,3,4,26,7,
SNIPER_TP1,1.0,2025-07-08,11,1.8940000000011423,0.17218181818192202,25,11,7,6,3,3,25,11,
SNIPER_TP1,1.0,2025-07-11,4,-0.21299999999973807,-0.053249999999934516,21,4,8,7,0,1,21,4,
SNIPER_TP1,1.0,2025-07-31,8,0.19000000000050932,0.023750000000063665,23,8,9,6,2,3,23,8,
SNIPER_TP1,1.0,2025-08-11,9,2.3409999999994398,0.26011111111104884,24,9,8,7,2,7,24,9,
SNIPER_TP1,1.0,2025-09-22,7,-1.1860000000001492,-0.16942857142859274,28,7,8,12,4,6,28,7,
SNIPER_TP1,1.0,2025-10-16,25,6.767999999993663,0.2707199999997465,40,25,4,10,7,12,40,25,
SNIPER_TP1,1.0,2025-10-20,14,1.3569999999972422,0.09692857142837444,34,14,10,10,2,4,34,14,
SNIPER_TP1,1.0,2025-10-28,18,7.7039999999997235,0.4279999999999846,35,18,10,6,4,11,35,18,
SNIPER_TP1,1.0,2025-11-06,9,0.4999999999999999,0.055555555555555546,24,9,7,8,2,4,24,9,
SNIPER_TP1,1.0,2025-11-11,6,-2.3040000000000873,-0.38400000000001455,27,6,9,11,2,2,27,6,
SNIPER_TP1,1.0,2025-11-13,13,-0.261000000002241,-0.020076923077095462,25,13,7,4,5,8,25,13,
SNIPER_TP1,1.0,2025-12-26,12,-0.3330000000023572,-0.027750000000196434,26,12,7,7,5,8,26,12,
SNIPER_TP1,1.0,2026-01-07,8,-0.11999999999989075,-0.014999999999986344,23,8,9,6,2,3,23,8,
SNIPER_TP1,1.0,2026-01-08,13,4.05199999999877,0.3116923076922131,28,13,4,10,3,6,28,13,
SNIPER_TP1,1.0,2026-01-16,9,-0.22300000000086578,-0.024777777777873974,14,9,0,3,4,4,14,9,
SNIPER_TP1,1.0,2026-01-22,24,-7.480000000003201,-0.31166666666680004,47,24,6,16,6,8,47,24,
SNIPER_TP1,1.0,2026-01-26,10,0.6629999999968277,0.06629999999968277,15,10,1,4,3,5,15,10,
SNIPER_TP1,1.0,2026-02-02,24,28.4399999999996,1.1849999999999834,35,24,2,7,6,13,35,24,
SNIPER_TP1,1.0,2026-02-18,11,4.2499999999972715,0.38636363636338833,36,11,7,15,6,10,36,11,
SNIPER_TP1,1.0,2026-02-19,16,7.122999999998683,0.4451874999999177,23,16,4,3,6,9,23,16,
SNIPER_TP1,1.0,2026-03-12,25,-11.557000000003427,-0.4622800000001371,41,25,4,12,9,11,41,25,
SNIPER_TP1,1.0,2026-03-17,8,-0.2609999999995125,-0.032624999999939064,17,8,3,5,3,6,17,8,
SNIPER_TP1,1.0,2026-03-18,19,-3.747000000003027,-0.1972105263159488,41,19,9,11,6,9,41,19,
SNIPER_TP1,1.0,2026-03-30,20,-1.1610000000009677,-0.05805000000004838,28,20,2,5,8,13,28,20,
SNIPER_TP1,1.0,2026-04-01,18,6.090999999997621,0.33838888888875673,29,18,3,8,5,8,29,18,
SNIPER_TP1,1.0,2026-04-08,19,-1.6170000000010984,-0.08510526315795255,33,19,4,9,3,7,33,19,
SNIPER_TP1,1.0,2026-04-14,13,-5.6690000000007785,-0.436076923076983,30,13,5,10,6,6,30,13,
SNIPER_TP1,1.0,2026-04-29,12,0.6799999999984718,0.05666666666653932,34,12,5,14,3,7,34,12,
SNIPER_TP1,1.0,2026-05-07,16,4.252999999999702,0.26581249999998136,26,16,6,2,7,8,26,16,
SNIPER_TP1,1.0,2026-05-29,16,4.022999999998319,0.25143749999989495,37,16,7,11,4,9,37,16,
SNIPER_TP1,1.0,2026-06-01,13,1.4239999999990687,0.10953846153838989,33,13,8,11,4,5,33,13,
SNIPER_TP1,1.0,2026-06-11,14,1.8290000000006332,0.13064285714290239,23,14,5,3,5,9,23,14,
SNIPER_TP1,1.0,2026-06-30,11,1.5299999999997453,0.13909090909088595,28,11,6,10,2,5,28,11,
SNIPER_TP1,1.0,2026-07-02,6,-4.839999999998781,-0.8066666666664636,26,6,11,6,1,1,26,6,
SNIPER_TP1,1.0,2026-07-03,6,-0.45000000000072754,-0.07500000000012126,20,6,7,5,1,4,20,6,
SNIPER_TP1,1.0,2026-07-06,5,-3.110000000000582,-0.6220000000001165,24,5,13,6,2,2,24,5,
SNIPER_TP1,1.0,2026-07-13,21,1.2999999999988177,0.061904761904705605,34,21,4,8,6,9,34,21,
