config,tp_mult,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,error
SNIPER_TP4,4.0,2024-06-14,2,1.3869999999997162,0.6934999999998581,25,2,12,11,1,1,25,2,
SNIPER_TP4,4.0,2024-06-19,0,0.0,0.0,11,0,3,7,0,0,11,0,
SNIPER_TP4,4.0,2024-07-04,2,1.1099999999996726,0.5549999999998363,10,2,5,3,0,1,10,2,
SNIPER_TP4,4.0,2024-07-08,4,1.3319999999994252,0.3329999999998563,33,4,12,16,0,0,33,4,
SNIPER_TP4,4.0,2024-07-12,9,4.709999999997763,0.5233333333330847,26,9,7,10,4,5,26,9,
SNIPER_TP4,4.0,2024-07-17,8,0.39600000000064034,0.04950000000008004,19,8,4,7,1,2,19,8,
SNIPER_TP4,4.0,2024-07-22,2,-0.8799999999996544,-0.4399999999998272,21,2,9,9,0,0,21,2,
SNIPER_TP4,4.0,2024-07-30,2,-0.7400000000002365,-0.37000000000011823,22,2,8,12,1,1,22,2,
SNIPER_TP4,4.0,2024-08-01,4,-1.5430000000005748,-0.3857500000001437,16,4,6,5,1,1,16,4,
SNIPER_TP4,4.0,2024-08-05,14,-5.126999999998134,-0.36621428571415243,46,14,14,17,7,7,46,14,
SNIPER_TP4,4.0,2024-08-21,7,-0.3670000000010987,-0.052428571428728386,16,7,3,5,2,3,16,7,
SNIPER_TP4,4.0,2024-08-28,3,-0.9929999999999382,-0.33099999999997937,27,3,9,15,2,2,27,3,
SNIPER_TP4,4.0,2024-09-24,4,-2.559000000000651,-0.6397500000001628,24,4,8,11,1,1,24,4,
SNIPER_TP4,4.0,2024-09-30,4,2.9230000000011387,0.7307500000002847,35,4,14,17,0,0,35,4,
SNIPER_TP4,4.0,2024-10-01,5,3.043999999998505,0.6087999999997009,28,5,10,12,1,2,28,5,
SNIPER_TP4,4.0,2024-10-04,6,1.8020000000005894,0.30033333333343154,21,6,6,7,3,5,21,6,
SNIPER_TP4,4.0,2024-10-10,3,-0.37700000000040745,-0.12566666666680248,13,3,5,4,1,1,13,3,
SNIPER_TP4,4.0,2024-10-15,8,0.8780000000033396,0.10975000000041744,24,8,6,9,5,6,24,8,
SNIPER_TP4,4.0,2024-10-18,9,0.1550000000015641,0.017222222222396014,28,9,11,8,2,4,28,9,
SNIPER_TP4,4.0,2024-10-22,4,2.9070000000006075,0.7267500000001519,22,4,13,4,1,2,22,4,
SNIPER_TP4,4.0,2024-11-13,6,-3.6999999999993634,-0.6166666666665606,19,6,4,8,1,1,19,6,
SNIPER_TP4,4.0,2024-11-28,7,1.4890000000009425,0.21271428571442036,29,7,15,6,3,3,29,7,
SNIPER_TP4,4.0,2024-12-02,4,0.16999999999961796,0.04249999999990449,26,4,13,9,1,1,26,4,
SNIPER_TP4,4.0,2025-01-03,5,-0.3269999999993161,-0.06539999999986322,22,5,10,7,4,4,22,5,
SNIPER_TP4,4.0,2025-01-08,5,-0.7949999999991633,-0.15899999999983266,17,5,3,7,1,2,17,5,
SNIPER_TP4,4.0,2025-01-15,10,2.0634076557704857,0.20634076557704856,20,7,3,10,2,3,21,10,
SNIPER_TP4,4.0,2025-01-22,5,-0.16500000000087311,-0.033000000000174626,16,5,6,5,2,3,16,5,
SNIPER_TP4,4.0,2025-01-29,4,1.550000000000637,0.3875000000001593,18,4,10,4,0,0,18,4,
SNIPER_TP4,4.0,2025-01-31,4,2.952999999999065,0.7382499999997663,22,4,11,5,1,2,22,4,
SNIPER_TP4,4.0,2025-02-21,2,-0.8930000000004839,-0.4465000000002419,16,2,6,7,1,1,16,2,
SNIPER_TP4,4.0,2025-03-11,5,-0.8229999999998652,-0.16459999999997305,20,5,6,9,1,1,20,5,
SNIPER_TP4,4.0,2025-03-19,5,0.419999999999618,0.08399999999992361,20,5,9,4,0,0,20,5,
SNIPER_TP4,4.0,2025-03-26,1,-0.3769999999999527,-0.3769999999999527,21,1,10,9,0,0,21,1,
SNIPER_TP4,4.0,2025-03-31,7,-4.059999999999491,-0.5799999999999272,25,7,10,7,3,4,25,7,
SNIPER_TP4,4.0,2025-04-10,14,7.08600000000024,0.5061428571428743,32,14,7,11,3,4,32,14,
SNIPER_TP4,4.0,2025-05-09,9,-3.0799999999994725,-0.3422222222221636,28,9,7,12,3,3,28,9,
SNIPER_TP4,4.0,2025-05-13,13,3.0799999999976535,0.23692307692289644,21,13,2,4,5,7,21,13,
SNIPER_TP4,4.0,2025-05-30,11,5.113000000001193,0.4648181818182903,24,11,4,9,4,6,24,11,
SNIPER_TP4,4.0,2025-06-18,10,7.451999999998861,0.7451999999998862,21,10,5,4,4,8,21,10,
SNIPER_TP4,4.0,2025-06-30,7,-1.5399999999999636,-0.2199999999999948,26,7,8,11,3,4,26,7,
SNIPER_TP4,4.0,2025-07-08,11,2.6550000000033833,0.24136363636394395,25,11,7,6,3,3,25,11,
SNIPER_TP4,4.0,2025-07-11,4,-1.6330000000007203,-0.4082500000001801,21,4,8,7,1,1,21,4,
SNIPER_TP4,4.0,2025-07-31,8,-3.9479999999998654,-0.4934999999999832,23,8,9,6,3,3,23,8,
SNIPER_TP4,4.0,2025-08-11,9,6.048999999999523,0.6721111111110581,24,9,8,7,5,7,24,9,
SNIPER_TP4,4.0,2025-09-22,7,-1.339999999999236,-0.19142857142846229,28,7,8,12,5,6,28,7,
SNIPER_TP4,4.0,2025-10-16,25,16.723999999996526,0.668959999999861,40,25,4,10,11,12,40,25,
SNIPER_TP4,4.0,2025-10-20,14,12.159999999993488,0.8685714285709635,34,14,10,10,3,4,34,14,
