config,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,error,split
IMMEDIATE,2024-01-02,23,0.5576431944121699,0.024245356278789997,0,0,0,0,,train
IMMEDIATE,2024-01-03,66,-0.6036185520035816,-0.009145735636417903,0,0,0,0,,train
IMMEDIATE,2024-01-04,34,-1.3728850799116876,-0.04037897293857905,0,0,0,0,,train
IMMEDIATE,2024-01-05,34,-1.2780730461658247,-0.03759038371075955,0,0,0,0,,train
IMMEDIATE,2024-01-08,49,-1.6547828867001044,-0.03377107932041029,0,0,0,0,,train
IMMEDIATE,2024-01-09,35,-1.089851548684616,-0.031138615676703316,0,0,0,0,,train
IMMEDIATE,2024-01-10,44,-1.2920797453718933,-0.02936544875845212,0,0,0,0,,train
IMMEDIATE,2024-01-11,23,-0.006269166303582173,-0.0002725724479818336,0,0,0,0,,train
IMMEDIATE,2024-01-12,88,-0.9590008092920168,-0.010897736469227464,0,0,0,0,,train
IMMEDIATE,2024-01-15,15,0.6157282923273518,0.04104855282182345,0,0,0,0,,train
IMMEDIATE,2024-01-16,54,-1.4177173919473869,-0.026254025776803462,0,0,0,0,,train
IMMEDIATE,2024-01-17,64,-0.6572875968959124,-0.010270118701498632,0,0,0,0,,train
IMMEDIATE,2024-01-18,38,-1.6509432634805612,-0.04344587535475161,0,0,0,0,,train
IMMEDIATE,2024-01-19,52,-0.08575117660999843,-0.001649061088653816,0,0,0,0,,train
IMMEDIATE,2024-01-22,42,-0.4553971085817921,-0.010842788299566478,0,0,0,0,,train
IMMEDIATE,2024-01-23,16,1.4594353988034072,0.09121471242521295,0,0,0,0,,train
IMMEDIATE,2024-01-24,44,-1.7136268597972353,-0.03894606499539171,0,0,0,0,,train
IMMEDIATE,2024-01-25,23,-0.5719195586092004,-0.02486606776561741,0,0,0,0,,train
IMMEDIATE,2024-01-26,12,-0.42965513905778613,-0.03580459492148218,0,0,0,0,,train
IMMEDIATE,2024-01-29,36,-0.4965656376139881,-0.01379348993372189,0,0,0,0,,train
IMMEDIATE,2024-01-30,29,-1.090513653014265,-0.03760391906945741,0,0,0,0,,train
IMMEDIATE,2024-01-31,52,-0.9950080711799576,-0.01913477059961457,0,0,0,0,,train
IMMEDIATE,2024-02-01,53,0.19119169037192787,0.0036073903843759974,0,0,0,0,,train
IMMEDIATE,2024-02-02,33,-0.7666234079700492,-0.023231012362728766,0,0,0,0,,train
IMMEDIATE,2024-02-05,63,0.30761160499446305,0.004882723888801001,0,0,0,0,,train
IMMEDIATE,2024-02-06,28,-0.28918883313228133,-0.01032817261186719,0,0,0,0,,train
IMMEDIATE,2024-02-07,18,0.1399980517738489,0.007777669542991607,0,0,0,0,,train
IMMEDIATE,2024-02-08,29,-1.0050281205221079,-0.03465614208696924,0,0,0,0,,train
IMMEDIATE,2024-02-09,35,0.006335970628318442,0.00018102773223766978,0,0,0,0,,train
IMMEDIATE,2024-02-12,27,-0.9423614648580951,-0.03490227647622574,0,0,0,0,,train
IMMEDIATE,2024-02-13,36,-0.9576276144413595,-0.026600767067815542,0,0,0,0,,train
IMMEDIATE,2024-02-14,25,0.36780894263650526,0.01471235770546021,0,0,0,0,,train
IMMEDIATE,2024-02-15,42,-0.5906958273643947,-0.014064186365818923,0,0,0,0,,train
IMMEDIATE,2024-02-16,34,0.40979122443316857,0.01205268307156378,0,0,0,0,,train
IMMEDIATE,2024-02-20,37,-0.6680958456693135,-0.01805664447754901,0,0,0,0,,train
IMMEDIATE,2024-02-21,20,-0.8016674258847919,-0.0400833712942396,0,0,0,0,,train
IMMEDIATE,2024-02-22,55,-1.5974556366112818,-0.02904464793838694,0,0,0,0,,train
IMMEDIATE,2024-02-23,50,-0.245608486187545,-0.0049121697237509,0,0,0,0,,train
IMMEDIATE,2024-02-26,29,-0.4758501302126963,-0.016408625179748147,0,0,0,0,,train
IMMEDIATE,2024-02-27,40,-0.695778757308517,-0.017394468932712924,0,0,0,0,,train
IMMEDIATE,2024-02-28,25,-0.8604393677864361,-0.03441757471145745,0,0,0,0,,train
IMMEDIATE,2024-02-29,44,-0.5168248297103067,-0.011746018857052426,0,0,0,0,,train
IMMEDIATE,2024-03-01,59,-0.1359463997715315,-0.0023041762673140934,0,0,0,0,,train
IMMEDIATE,2024-03-04,27,-0.5442954637326997,-0.020159091249359246,0,0,0,0,,train
IMMEDIATE,2024-03-05,46,-1.3163665977167511,-0.02861666516775546,0,0,0,0,,train
IMMEDIATE,2024-03-06,78,-3.4141546332925827,-0.043771213247340804,0,0,0,0,,train
IMMEDIATE,2024-03-07,22,-0.48560099129099404,-0.02207277233140882,0,0,0,0,,train
IMMEDIATE,2024-03-08,60,-1.3078387913775866,-0.021797313189626445,0,0,0,0,,train
