config,n_trades,pnl_total,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,n_alignment_skipped,n_entry_aligned,n_entry_opposed,n_entry_unknown,ev_per_trade,pnl_per_day,trades_per_day,fill_rate,pct_aligned,pct_opposed
CONV_05,3767,-83.227238166423,3767,1357,1354,1333,227,227,24146,1804,1892,71,-0.022093771745798515,-1.410631155363102,63.847457627118644,0.9253254728567919,47.889567294929655,50.22564374834086
MEM_3,3767,-83.227238166423,3767,1357,1354,1333,227,227,24146,1804,1892,71,-0.022093771745798515,-1.410631155363102,63.847457627118644,0.9253254728567919,47.889567294929655,50.22564374834086
MEM_10,3767,-83.227238166423,3767,1357,1354,1333,227,227,24146,1804,1892,71,-0.022093771745798515,-1.410631155363102,63.847457627118644,0.9253254728567919,47.889567294929655,50.22564374834086
OPTIMAL,3767,-83.227238166423,3767,1357,1354,1333,227,227,24146,1804,1892,71,-0.022093771745798515,-1.410631155363102,63.847457627118644,0.9253254728567919,47.889567294929655,50.22564374834086
CONV_07,3736,-82.79629989240152,3736,1346,1343,1309,223,223,24146,1804,1861,71,-0.022161750506531457,-1.4033271168203647,63.32203389830509,0.9252105002476474,48.28693790149893,49.812633832976445
COMBO,3767,-83.54470243643718,3767,1357,1354,1333,227,227,24265,1804,1892,71,-0.022178046837387094,-1.416011905702325,63.847457627118644,0.9253254728567919,47.889567294929655,50.22564374834086
BOOST_15,3767,-83.54470243643718,3767,1357,1354,1333,227,227,24265,1804,1892,71,-0.022178046837387094,-1.416011905702325,63.847457627118644,0.9253254728567919,47.889567294929655,50.22564374834086
