config,n_trades,pnl_total,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,ev_per_trade,pnl_per_day,trades_per_day,fill_rate,signals_per_day,lifetime_secs,inv_trade
INV_0,3767,-83.227238166423,3767,1357,1354,1333,227,227,-0.022093771745798515,-1.410631155363102,63.847457627118644,0.9253254728567919,23.0,0,True
INV_3,3554,-69.73636260044479,3554,1284,1281,1263,213,213,-0.01962193657862825,-1.181972247465166,60.23728813559322,0.9226375908618899,21.76271186440678,3,True
INV_4,3486,-72.97894823760643,3486,1260,1257,1235,210,210,-0.02093486753803971,-1.2369313260611259,59.08474576271186,0.9222222222222223,21.35593220338983,4,True
INV_5,3429,-72.3630821908339,3429,1239,1236,1220,209,209,-0.021103261064693464,-1.2264929184887101,58.11864406779661,0.9225181598062954,21.0,5,True
INV_10,3162,-71.12858224292927,3162,1145,1143,1132,193,193,-0.022494807793462766,-1.2055691905581232,53.59322033898305,0.9205240174672489,19.406779661016948,10,True
INV_30,2612,-62.77473594207785,2612,948,946,923,159,159,-0.024033206715956296,-1.063978575289455,44.271186440677965,0.9184247538677919,16.06779661016949,30,True
BASE_4,3276,-107.048548237586,3276,1260,1257,1109,0,0,-0.03267660202612516,-1.814382173518407,55.52542372881356,0.8666666666666667,21.35593220338983,4,False
BASE_10,2969,-92.09018224291049,2969,1145,1143,1012,0,0,-0.031017238882758667,-1.5608505464900082,50.32203389830509,0.8643377001455604,19.406779661016948,10,False
