config,day,n_trades,pnl_total,ev_per_trade
TP13,2024-01-23,0,0.0,0.0
TP13,2024-02-07,2,8.459999999997763,4.229999999998881
TP13,2024-02-08,1,-0.5499999999999545,-0.5499999999999545
TP13,2024-02-23,2,0.7190000000000509,0.35950000000002547
TP13,2024-03-08,4,-2.2100000000000364,-0.5525000000000091
TP13,2024-03-13,2,3.7969999999963875,1.8984999999981937
TP13,2024-04-11,9,5.001000000005661,0.5556666666672956
TP13,2024-05-06,5,-2.687000000000353,-0.5374000000000706
TP13,2024-05-08,1,-0.2699999999999818,-0.2699999999999818
TP13,2024-05-14,8,5.656000000004951,0.7070000000006189
TP13,2024-05-20,9,19.007000000006883,2.111888888889654
TP13,2024-05-24,2,-0.5,-0.25
TP13,2024-06-03,7,2.936000000001968,0.4194285714288526
TP13,2024-06-12,4,6.663000000000466,1.6657500000001164
TP13,2024-06-18,4,-1.0400000000004184,-0.2600000000001046
TP13,2024-06-25,3,-1.2100000000004911,-0.403333333333497
TP13,2024-06-26,4,-2.269999999999527,-0.5674999999998818
TP13,2024-06-27,6,3.3130000000005566,0.5521666666667594
TP13,2024-07-01,1,-0.27300000000013824,-0.27300000000013824
TP13,2024-07-18,3,6.468000000000302,2.1560000000001005
TP13,2024-07-19,9,18.528000000002976,2.0586666666669973
TP13,2024-07-31,7,2.155999999998585,0.3079999999997978
TP13,2024-08-14,7,17.457000000004882,2.4938571428578404
TP13,2024-08-20,7,3.7650000000039654,0.5378571428577094
TP13,2024-09-05,5,11.4029999999957,2.28059999999914
TP13,2024-09-12,10,1.4750000000003636,0.14750000000003635
TP13,2024-10-21,8,9.330999999999221,1.1663749999999027
TP13,2024-10-24,2,-1.1169999999992797,-0.5584999999996398
TP13,2024-11-05,2,2.51299999999992,1.25649999999996
TP13,2024-12-06,11,-1.4300000000007458,-0.1300000000000678
TP13,2025-01-30,11,-4.389999999999873,-0.3990909090908975
TP13,2025-02-20,8,27.693999999995413,3.4617499999994266
TP13,2025-02-28,6,-3.1200000000003456,-0.5200000000000576
TP13,2025-03-25,6,8.600000000002638,1.433333333333773
TP13,2025-04-10,14,26.452000000005683,1.8894285714289774
TP13,2025-04-21,17,9.40999999999849,0.5535294117646171
TP13,2025-05-15,17,25.396000000000186,1.4938823529411873
TP13,2025-06-16,14,-5.334999999999582,-0.3810714285713987
TP13,2025-06-18,10,20.956000000000586,2.0956000000000587
TP13,2025-07-08,11,16.407000000006974,1.4915454545460884
TP13,2025-07-25,10,13.531000000003587,1.3531000000003588
TP13,2025-08-07,12,-0.25100000000020406,-0.02091666666668367
TP13,2025-09-10,5,-3.163000000000011,-0.6326000000000022
TP13,2025-12-11,18,12.320999999996275,0.684499999999793
TP13,2025-12-16,8,20.609999999989668,2.5762499999987085
TP13,2025-12-29,24,43.40300000001207,1.8084583333338362
TP13,2026-02-16,6,-4.8160000000016225,-0.8026666666669371
TP13,2026-02-27,14,33.17500000000109,2.369642857142935
TP13,2026-03-03,28,-24.638000000004467,-0.8799285714287309
TP13,2026-03-10,22,37.93380099502641,1.7242636815921095
TP13,2026-04-16,13,7.747999999998683,0.5959999999998987
TP13,2026-04-17,14,17.82300000000032,1.2730714285714515
TP13,2026-05-08,11,1.1653333333236635,0.10593939393851487
TP13,2026-05-14,7,-4.324000000004162,-0.6177142857148803
TP13,2026-05-18,9,-7.890000000002146,-0.8766666666669052
TP13,2026-06-26,18,-13.216999999998734,-0.7342777777777074
TP14,2024-01-23,0,0.0,0.0
