config,n_days,trades,pnl_total,ev_per_trade,pnl_per_day,sniper_submitted,sniper_triggered,sniper_cancelled,sniper_expired,inv_submitted,inv_filled,soft_stops,inversions
IMMEDIATE,58,3366,-132.64030292754194,-0.03940591293153355,-2.286901774612792,0,0,0,0,0,0,1207,1333
SNIPER,58,456,54.75722173910101,0.12008162662083556,0.9440900299845002,1271,450,425,366,450,450,285,450
SNIPER_300,58,456,54.75722173910101,0.12008162662083556,0.9440900299845002,1271,450,425,387,450,450,285,450
SNIPER_600,58,456,54.75722173910101,0.12008162662083556,0.9440900299845002,1271,450,425,378,450,450,285,450
SNIPER_INV,58,906,95.04902173904688,0.10491062002102304,1.6387762368801186,1271,450,425,366,900,900,688,900
