config,n_days,trades,pnl_total,ev_per_trade,pnl_per_day
TP13,56,478,366.5721343283702,0.7668873103103979,6.545930970149469
TP14,56,478,408.0851343283804,0.8537345906451472,7.287234541578221
TP15,56,478,432.81813432838084,0.905477268469416,7.728895255863944
TP16,56,478,420.7511343283794,0.880232498594936,7.513413113006775
TP17,56,478,453.34313432837905,0.9484165990133453,8.095413113006769
TP18,56,478,489.4231343283835,1.0238977705614718,8.739698827292562
TP19,56,478,512.8361343283817,1.0728789421095852,9.157788113006816
TP20,56,478,497.43613432837253,1.0406613688878086,8.882788113006653
TP21,56,478,493.9691343283765,1.0334082308125032,8.82087739872101
TP22,56,478,522.33913432838,1.092759695247657,9.327484541578215
TP23,56,478,442.5931343283677,0.9259270592643676,7.90344882729228
TP24,56,478,465.02013432837055,0.9728454693062145,8.303930970149475
TP25,56,478,485.1691343283787,1.0149981889715034,8.66373454157819
